Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
753,753,0,00050757,0
754,754,0,00050758,0
755,755,0,00050759,0
756,756,0,0005075a,0
757,757,0,0005075b,0
758,758,0,0005075c,0
759,759,0,0005075d,0
760,760,0,0005075e,0
761,761,0,0005075f,0
762,762,0,00050760,0
763,763,0,00050761,0
764,764,0,00050762,0
765,765,0,00050763,0
766,766,0,00050764,0
767,767,0,00050765,0
768,768,0,00050766,0
769,769,0,00050767,0
770,770,0,00050768,0
771,771,0,00050769,0
772,772,0,0005076a,0
773,773,0,0005076b,0
774,774,0,0005076c,0
775,775,0,0005076d,0
776,776,0,0005076e,0
777,777,0,0005076f,0
778,778,0,00050770,0
779,779,0,00050771,0
780,780,0,00050772,0
781,781,0,00050773,0
782,782,0,00050774,0
783,783,0,00050775,0
784,784,0,00050776,0
785,785,0,00050777,0
786,786,0,00050778,0
787,787,0,00050779,0
788,788,0,0005077a,0
789,789,0,0005077b,0
790,790,0,0005077c,0
791,791,0,0005077d,0
792,792,0,0005077e,0
793,793,0,0005077f,0
794,794,0,00050780,0
795,795,0,00050781,0
796,796,0,00050782,0
797,797,0,00050783,0
798,798,0,00050784,0
799,799,0,00050785,0
800,800,0,00050786,0
801,801,0,00050787,0
802,802,0,00050788,0
803,803,0,00050789,0
804,804,0,0005078a,0
805,805,0,0005078b,0
806,806,0,0005078c,0
807,807,0,0005078d,0
808,808,0,0005078e,0
809,809,0,0005078f,0
810,810,0,00050790,0
811,811,0,00050791,0
812,812,0,00050792,0
813,813,0,00050793,0
814,814,0,00050794,0
815,815,0,00050795,0
816,816,0,00050796,0
817,817,0,00050797,0
818,818,0,00050798,0
819,819,0,00050799,0
820,820,0,0005079a,0
821,821,0,0005079b,0
822,822,0,0005079c,0
823,823,0,0005079d,0
824,824,0,0005079e,0
825,825,0,0005079f,0
826,826,0,000507a0,0
827,827,0,000507a1,0
828,828,0,000507a2,0
829,829,0,000507a3,0
830,830,0,000507a4,0
831,831,0,000507a5,0
832,832,0,000507a6,0
833,833,0,000507a7,0
834,834,0,000507a8,0
835,835,0,000507a9,0
836,836,0,000507aa,0
837,837,0,000507ab,0
838,838,0,000507ac,0
839,839,0,000507ad,0
840,840,0,000507ae,0
841,841,0,000507af,0
842,842,0,000507b0,0
843,843,0,000507b1,0
844,844,0,000507b2,0
845,845,0,000507b3,0
846,846,0,000507b4,0
847,847,0,000507b5,0
848,848,0,000507b6,0
849,849,0,000507b7,0
850,850,0,000507b8,0
851,851,0,000507b9,0
852,852,0,000507ba,0
853,853,0,000507bb,0
854,854,0,000507bc,0
855,855,0,000507bd,0
856,856,0,000507be,0
857,857,0,000507bf,0
858,858,0,000507c0,0
859,859,0,000507c1,0
860,860,0,000507c2,0
861,861,0,000507c3,0
862,862,0,000507c4,0
863,863,0,000507c5,0
864,864,0,000507c6,0
865,865,0,000507c7,0
